"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2022","71014.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","040","AUT","Austria","2023","73143.0",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2005","6655.2",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2006","9110.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2007","11544.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2008","12862.3",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2009","13972.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2010","14632.7",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2011","14804.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2012","16021.3",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2013","17301.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2014","17595.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2015","15100.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2016","14556.3",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2017","14334.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2018","15302.0",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2019","16736.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2020","15309.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2021","20305.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2022","22659.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","031","AZE","Azerbaijan","2023","23630.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2005","9671.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2006","11019.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2007","12340.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2008","13904.7",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2009","14049.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2010","15350.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2011","16517.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2012","18030.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2013","18905.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2014","18933.9",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2015","18086.3",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2016","17812.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2017","18395.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2018","19997.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2019","22268.2",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2020","24778.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2021","27333.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2022","27952.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","112","BLR","Belarus","2023","30422.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2005","33177.9",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2006","35258.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2007","36799.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2008","37883.2",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2009","37885.9",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2010","39844.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2011","41244.7",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2012","42483.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2013","43864.1",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2014","45147.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2015","46071.9",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2016","48414.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2017","50255.9",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2018","52466.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2019","56712.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2020","56119.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2021","61873.4",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2022","69456.9",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","056","BEL","Belgium","2023","72116.2",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","070","BIH","Bosnia and Herzegovina","2005","6364.6",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","070","BIH","Bosnia and Herzegovina","2006","7272.8",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","070","BIH","Bosnia and Herzegovina","2007","8032.5",
"12","GDP per capita in USD adjusted by purchasing power parities","Gross domestic product (GDP) per capita","Total USD adjusted by purchasing power parities","070","BIH","Bosnia and Herzegovina","2008","8827.6",
